;SQ_SIMULATION;SQ_TEST;BASELINE
Totem127.xml;0.28021825396825395;0.12623015873015875;0.10702380952380963
Totem128.xml;0.33087301587301576;0.16382936507936507;0.11198412698412707
Totem13.xml;0.2043253968253972;0.0756944444444444;0.0842261904761904
Totem14.xml;0.37329365079365084;0.21763888888888883;0.10164682539682535
Totem15.xml;0.3163690476190478;0.1823611111111112;0.09503968253968265
Totem16.xml;0.27075396825396836;0.1699801587301587;0.116468253968254
Totem17.xml;0.3163492063492064;0.24230158730158735;0.12323412698412683
Totem18.xml;0.26176587301587284;0.23378968253968258;0.09726190476190466
Totem19.xml;0.2957539682539684;0.16523809523809518;0.10319444444444459
Totem2.xml;0.28315476190476185;0.21474206349206348;0.12533730158730194
Totem20.xml;0.26482142857142843;0.09960317460317458;0.10958333333333325
Totem21.xml;0.2593253968253967;0.0960714285714287;0.11601190476190493
Totem22.xml;0.23668650793650803;0.16892857142857143;0.10123015873015873
Totem23.xml;0.3348214285714286;0.1968849206349209;0.11813492063492059
Totem24.xml;0.3257738095238094;0.211686507936508;0.10410714285714273
Totem25.xml;0.21438492063492043;0.14601190476190495;0.08537698412698391
Totem26.xml;0.23111111111111104;0.1354761904761903;0.11702380952380953
Totem27.xml;0.3012896825396826;0.1811111111111111;0.1218650793650794
Totem28.xml;0.29599206349206353;0.18898809523809512;0.08253968253968258
Totem29.xml;0.2741865079365079;0.24984126984126998;0.08232142857142866
Totem3.xml;0.31678571428571434;0.2017063492063491;0.11287698412698433
Totem30.xml;0.37857142857142845;0.22938492063492055;0.08950396825396822
Totem32.xml;0.2527976190476193;0.17581349206349206;0.12204365079365098
Totem33.xml;0.23904761904761906;0.23757936507936528;0.09436507936507943
Totem34.xml;0.31039682539682545;0.2569246031746032;0.09009920634920632
Totem35.xml;0.2978373015873016;0.19369047619047597;0.09458333333333369
Totem36.xml;0.2631349206349205;0.18099206349206332;0.0858333333333332
