Vermis;;;;;;Teuthus;;;;;;Argos;;;;;;Orion;;;;;;Maia;;;;;;Overall;;;;;
SQ_SIMULATION;SQ_TEST;BASELINE;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base
0,275714286;0,182599206;0,117996032;0,672473868;0,445363918;0,287795199;0,254107143;0,245793651;0,078948413;0,619773519;0,599496709;0,192557104;0,214781746;0,202539683;0,08140873;0,523857917;0,493999227;0,198557878;0,237440476;0,149464286;0,132003968;0,579123113;0,364547038;0,321960898;0,218809524;0,068333333;0,048710317;0,533681765;0,166666667;0,118805652;0,240170635;0,169746032;0,091813492;0,585782036;0,414014712;0,223935346
0,341071429;0,206130952;0,06468254;0,831881533;0,50275842;0,157762292;0,21234127;0,310634921;0,072123016;0,517905536;0,757646148;0,175909795;0,143412698;0,168154762;0,071289683;0,349787068;0,410133566;0,173877276;0,166904762;0,123253968;0,129484127;0,407084785;0,300619435;0,315814944;0,166507937;0,104424603;0,02890873;0,406116918;0,254694154;0,070509098;0,206047619;0,182519841;0,073297619;0,502555168;0,445170345;0,178774681
0,246111111;0,182420635;0,099285714;0,600271003;0,444928378;0,242160279;0,200615079;0,144821429;0,077519841;0,489305072;0,353222997;0,189072784;0,219821429;0,146924603;0,083690476;0,536149827;0,35835269;0,204123112;0,162698413;0,130813492;0,133630952;0,396825397;0,319057298;0,325929152;0,168809524;0,078869048;0,048730159;0,411730546;0,192363531;0,118854046;0,199611111;0,136769841;0,088571429;0,486856369;0,333584979;0,216027874
0,274662698;0,197638889;0,109166667;0,669909021;0,48204607;0,266260163;0,185099206;0,164007937;0,080099206;0,451461479;0,400019357;0,195363918;0,17140873;0,115853175;0,093888889;0,418070073;0,28256872;0,22899729;0,17890873;0,159543651;0,133035714;0,436362756;0,389130856;0,324477352;0,145912698;0,112678571;0,028988095;0,35588463;0,274825784;0,070702671;0,191198413;0,149944445;0,089035714;0,466337592;0,365718157;0,217160279
0,319246032;0,14234127;0,091468254;0,778648858;0,347173829;0,223093302;0,224007937;0,250694444;0,075238095;0,546360821;0,611449864;0,183507549;0,167559524;0,120099206;0,091388889;0,408681766;0,292924893;0,222899729;0,232261905;0,142738095;0,130714286;0,566492451;0,348141696;0,318815331;0,200198413;0,131011905;0,026071429;0,488288811;0,319541231;0,06358885;0,228654762;0,157376984;0,08297619;0,557694541;0,383846303;0,202380952
0,280515873;0,182123016;0,094801587;0,684185056;0,444202478;0,231223384;0,239166667;0,205634921;0,092678571;0,583333333;0,501548587;0,226045296;0,170912698;0,099246032;0,080178571;0,416860239;0,242063493;0,19555749;0,19172619;0,120496032;0,133690476;0,467624855;0,29389276;0,326074332;0,201289683;0,131904762;0,026130952;0,490950445;0,321718931;0,06373403;0,216722222;0,147880952;0,085496032;0,528590786;0,36068525;0,208526906
0,329345238;0,05047619;0,11452381;0,803281069;0,12311266;0,279326365;0,268769841;0,231805556;0,077400794;0,655536198;0,565379404;0,188782424;0,257480159;0,100257937;0,08702381;0,628000388;0,244531554;0,212253195;0,19781746;0,078373016;0,140714286;0,482481611;0,191153697;0,343205575;0,141051587;0,08265873;0,037579365;0,344028262;0,201606659;0,091656988;0,238892857;0,108714286;0,091448413;0,582665505;0,265156795;0,223044909
0,311111111;0,122579365;0,104900794;0,758807588;0,298974061;0,255855594;0,241805556;0,331527778;0,076984127;0,589769648;0,808604336;0,187766163;0,134642857;0,144583333;0,080595238;0,328397212;0,352642276;0,196573751;0,197698413;0,145257937;0,132519841;0,48219125;0,35428765;0,323219125;0,171369048;0,147400794;0,047162698;0,417973287;0,359514131;0,115030972;0,211325397;0,178269841;0,08843254;0,515427797;0,434804491;0,215689121
0,280218254;0,126230159;0,10702381;0,683459156;0,307878436;0,261033682;0,271210317;0,183809524;0,084484127;0,661488579;0,448315912;0,206058846;0,146825397;0,12202381;0,079107143;0,358110724;0,297619049;0,192944251;0,172063492;0,128650794;0,139920635;0,419667054;0,313782424;0,341269841;0,1125;0,11202381;0,027480159;0,274390244;0,273228804;0,067024777;0,196563492;0,134547619;0,087603175;0,479423151;0,328164925;0,21366628
0,330873016;0,163829365;0,111984127;0,807007356;0,399583817;0,273132017;0,309246032;0,125496032;0,091329365;0,754258614;0,306087882;0,222754549;0,19922619;0,130912698;0,096547619;0,485917537;0,319299263;0,235481998;0,218928571;0,145436508;0,138313492;0,533972125;0,35472319;0,337349981;0,143769841;0,140456349;0,028690476;0,350658149;0,342576461;0,069976771;0,24040873;0,14122619;0,093373016;0,586362756;0,344454123;0,227739063
0,204325397;0,075694444;0,08422619;0,498354626;0,184620596;0,205429733;0,216904762;0,187103175;0,081170635;0,529036005;0,456349206;0,197977158;0,177321429;0,133055556;0,078869048;0,43249129;0,324525746;0,192363532;0,124861111;0,122857143;0,129186508;0,304539295;0,299651568;0,315089044;0,135456349;0,095714286;0,030178571;0,33038134;0,233449477;0,073606272;0,17177381;0,122884921;0,080726191;0,418960511;0,299719319;0,196893148
0,373293651;0,217638889;0,101646825;0,910472319;0,530826558;0,247919086;0,263293651;0,264623016;0,081448413;0,642179636;0,64542199;0,198654665;0,204345238;0,185654762;0,084920635;0,49840302;0,452816493;0,2071235;0,276785714;0,143353175;0,136369048;0,675087108;0,349641889;0,332607433;0,30468254;0,144880952;0,047440476;0,743128146;0,353368177;0,115708479;0,284480159;0,191230159;0,090365079;0,693854046;0,466415021;0,220402633
0,316369048;0,182361111;0,095039683;0,771631823;0,444783198;0,231804104;0,25;0,196746032;0,064821429;0,609756098;0,47986837;0,158101045;0,146527778;0,183511905;0,078214286;0,357384824;0,447590012;0,190766551;0,197876984;0,102380952;0,13875;0,482626791;0,24970964;0,338414634;0,248849206;0,152083333;0,028730159;0,606949284;0,370934959;0,070073558;0,231924603;0,163416667;0,081111111;0,565669764;0,398577236;0,197831978
0,270753968;0,169980159;0,116468254;0,660375532;0,414585753;0,284068912;0,225952381;0,233829365;0,070357143;0,551103368;0,570315525;0,171602787;0,184503968;0,10359127;0,06672619;0,450009678;0,252661634;0,162746805;0,183293651;0,118333333;0,139404762;0,447057685;0,288617886;0,340011614;0,153055556;0,136329365;0,029126984;0,373306233;0,332510647;0,071041425;0,203511905;0,152412698;0,084416667;0,496370499;0,371738289;0,205894309
